id,title,client_id,jd_text,required_skills,location,remote_ok,rate_min,rate_max,visa_requirement,min_yoe,max_yoe,status
11,Site Reliability Engineer,1,"Meridian Financial is seeking an experienced Site Reliability Engineer to join our healthcare technology team. The ideal candidate has strong hands-on experience with React, Salesforce, Redis, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: React, Salesforce, Redis, AWS, CI/CD, GCP. Location: Dallas, TX.","['React', 'Salesforce', 'Redis', 'AWS', 'CI/CD', 'GCP']","Dallas, TX",True,57.0,91.0,h1b,3.9,13.6,on_hold
12,Salesforce Developer,3,"Vertex Technologies is seeking an experienced Salesforce Developer to join our retail technology team. The ideal candidate has strong hands-on experience with Go, JavaScript, Machine Learning, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Go, JavaScript, Machine Learning, SQL. Location: Chicago, IL.","['Go', 'JavaScript', 'Machine Learning', 'SQL']","Chicago, IL",False,57.0,81.0,,3.6,14.5,open
13,SAP Consultant,1,"Meridian Financial is seeking an experienced SAP Consultant to join our healthcare technology team. The ideal candidate has strong hands-on experience with Machine Learning, Salesforce, TypeScript, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Machine Learning, Salesforce, TypeScript, CI/CD, Kafka. Location: Boston, MA.","['Machine Learning', 'Salesforce', 'TypeScript', 'CI/CD', 'Kafka']","Boston, MA",False,61.0,88.0,,5.8,10.7,open
14,Technical Project Manager,12,"Lumen Health Systems is seeking an experienced Technical Project Manager to join our healthcare technology team. The ideal candidate has strong hands-on experience with SAP, dbt, Kafka, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: SAP, dbt, Kafka, Node.js, C#, PyTorch, TensorFlow. Location: Austin, TX.","['SAP', 'dbt', 'Kafka', 'Node.js', 'C#', 'PyTorch', 'TensorFlow']","Austin, TX",False,85.0,110.0,,4.6,10.5,on_hold
15,Network Engineer,7,"Coastal Telecom is seeking an experienced Network Engineer to join our manufacturing technology team. The ideal candidate has strong hands-on experience with .NET, Salesforce, JavaScript, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: .NET, Salesforce, JavaScript, C#, Kafka. Location: New York, NY.","['.NET', 'Salesforce', 'JavaScript', 'C#', 'Kafka']","New York, NY",True,87.0,121.0,,5.2,13.4,closed
16,Security Engineer,3,"Vertex Technologies is seeking an experienced Security Engineer to join our retail technology team. The ideal candidate has strong hands-on experience with JavaScript, GCP, React, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: JavaScript, GCP, React, Redis, SAP, TensorFlow, Tableau. Location: New York, NY.","['JavaScript', 'GCP', 'React', 'Redis', 'SAP', 'TensorFlow', 'Tableau']","New York, NY",False,102.0,137.0,gc,3.8,8.6,open
17,Frontend Developer (React),6,"Pinnacle Insurance is seeking an experienced Frontend Developer (React) to join our insurance technology team. The ideal candidate has strong hands-on experience with DevOps, Kafka, Redis, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: DevOps, Kafka, Redis, Azure, Java, Terraform, Scala. Location: Dallas, TX.","['DevOps', 'Kafka', 'Redis', 'Azure', 'Java', 'Terraform', 'Scala']","Dallas, TX",True,81.0,119.0,citizen,6.0,10.3,closed
18,Database Administrator,8,"BrightPath Energy is seeking an experienced Database Administrator to join our telecom technology team. The ideal candidate has strong hands-on experience with Azure, GCP, React, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Azure, GCP, React, .NET, Terraform. Location: Remote.","['Azure', 'GCP', 'React', '.NET', 'Terraform']",Remote,False,100.0,139.0,gc,4.7,13.7,open
19,Scrum Master,5,"Atlas Manufacturing is seeking an experienced Scrum Master to join our financial services technology team. The ideal candidate has strong hands-on experience with Kubernetes, Terraform, SAP, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Kubernetes, Terraform, SAP, Airflow, MongoDB, Azure. Location: Austin, TX.","['Kubernetes', 'Terraform', 'SAP', 'Airflow', 'MongoDB', 'Azure']","Austin, TX",True,104.0,134.0,,4.3,11.7,closed
20,Platform Engineer,3,"Vertex Technologies is seeking an experienced Platform Engineer to join our retail technology team. The ideal candidate has strong hands-on experience with React, Data Engineering, Power BI, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: React, Data Engineering, Power BI, Rust. Location: Atlanta, GA.","['React', 'Data Engineering', 'Power BI', 'Rust']","Atlanta, GA",False,81.0,98.0,h1b,2.3,11.7,open
21,Analytics Engineer,3,"Vertex Technologies is seeking an experienced Analytics Engineer to join our retail technology team. The ideal candidate has strong hands-on experience with GCP, C#, Airflow, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: GCP, C#, Airflow, TypeScript, Azure. Location: Seattle, WA.","['GCP', 'C#', 'Airflow', 'TypeScript', 'Azure']","Seattle, WA",True,81.0,106.0,gc,5.8,12.2,open
22,Integration Developer,2,"Northwind Health is seeking an experienced Integration Developer to join our healthcare technology team. The ideal candidate has strong hands-on experience with SQL, PyTorch, Kafka, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: SQL, PyTorch, Kafka, GCP, Data Engineering, Node.js. Location: Austin, TX.","['SQL', 'PyTorch', 'Kafka', 'GCP', 'Data Engineering', 'Node.js']","Austin, TX",False,80.0,112.0,,4.5,15.2,open
23,Solutions Architect,10,"Cedar Analytics is seeking an experienced Solutions Architect to join our manufacturing technology team. The ideal candidate has strong hands-on experience with Java, Node.js, JavaScript, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Java, Node.js, JavaScript, scikit-learn. Location: Chicago, IL.","['Java', 'Node.js', 'JavaScript', 'scikit-learn']","Chicago, IL",False,68.0,95.0,,4.0,13.0,open
24,Mobile Developer (iOS),5,"Atlas Manufacturing is seeking an experienced Mobile Developer (iOS) to join our financial services technology team. The ideal candidate has strong hands-on experience with Redis, Power BI, Data Engineering, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Redis, Power BI, Data Engineering, Go, React, TypeScript, Kubernetes. Location: Remote.","['Redis', 'Power BI', 'Data Engineering', 'Go', 'React', 'TypeScript', 'Kubernetes']",Remote,False,77.0,102.0,,5.4,10.6,closed
25,Senior Software Engineer,6,"Pinnacle Insurance is seeking an experienced Senior Software Engineer to join our insurance technology team. The ideal candidate has strong hands-on experience with GCP, SAP, Airflow, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: GCP, SAP, Airflow, PyTorch, AWS, DevOps, Redis. Location: Seattle, WA.","['GCP', 'SAP', 'Airflow', 'PyTorch', 'AWS', 'DevOps', 'Redis']","Seattle, WA",False,78.0,97.0,,5.8,14.9,open
26,Data Engineer,3,"Vertex Technologies is seeking an experienced Data Engineer to join our retail technology team. The ideal candidate has strong hands-on experience with scikit-learn, DevOps, SQL, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: scikit-learn, DevOps, SQL, Kubernetes, Scala, Airflow. Location: Seattle, WA.","['scikit-learn', 'DevOps', 'SQL', 'Kubernetes', 'Scala', 'Airflow']","Seattle, WA",False,78.0,96.0,,3.8,9.9,on_hold
27,DevOps Engineer,1,"Meridian Financial is seeking an experienced DevOps Engineer to join our healthcare technology team. The ideal candidate has strong hands-on experience with Machine Learning, Scala, Django, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Machine Learning, Scala, Django, Rust. Location: New York, NY.","['Machine Learning', 'Scala', 'Django', 'Rust']","New York, NY",False,69.0,97.0,h1b,3.5,11.2,open
28,ML Engineer,1,"Meridian Financial is seeking an experienced ML Engineer to join our healthcare technology team. The ideal candidate has strong hands-on experience with SAP, PyTorch, Machine Learning, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: SAP, PyTorch, Machine Learning, React, Tableau. Location: Dallas, TX.","['SAP', 'PyTorch', 'Machine Learning', 'React', 'Tableau']","Dallas, TX",True,80.0,125.0,,2.5,15.8,open
29,Cloud Architect,6,"Pinnacle Insurance is seeking an experienced Cloud Architect to join our insurance technology team. The ideal candidate has strong hands-on experience with Docker, SQL, Airflow, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Docker, SQL, Airflow, Power BI, scikit-learn, JavaScript. Location: Austin, TX.","['Docker', 'SQL', 'Airflow', 'Power BI', 'scikit-learn', 'JavaScript']","Austin, TX",False,57.0,96.0,,2.6,15.1,open
30,Backend Developer (Python),10,"Cedar Analytics is seeking an experienced Backend Developer (Python) to join our manufacturing technology team. The ideal candidate has strong hands-on experience with Kubernetes, Power BI, Data Engineering, and a track record of delivering production systems at scale. Responsibilities include designing and building scalable services, collaborating with cross-functional teams, and mentoring junior engineers. Required: Kubernetes, Power BI, Data Engineering, CI/CD, Airflow, TensorFlow. Location: Phoenix, AZ.","['Kubernetes', 'Power BI', 'Data Engineering', 'CI/CD', 'Airflow', 'TensorFlow']","Phoenix, AZ",False,82.0,111.0,,3.3,8.9,open
